TimeStamp,Voltage,Current,Relative State of Charge,Full charge Capacity,Remaining Capacity,Cell 1 Voltage,Cell 2 Voltage
2021-08-16 16:59:15.766,8472,0,100,4888,4888,4220,4251
2021-08-16 16:59:17.768,8472,0,100,4888,4888,4220,4251
2021-08-16 16:59:19.766,8472,0,100,4888,4888,4220,4251
2021-08-16 16:59:21.766,8471,0,100,4888,4888,4220,4251
2021-08-16 16:59:23.766,8471,0,100,4888,4888,4220,4251
2021-08-16 16:59:25.766,8306,-2009,100,4888,4888,4131,4155
2021-08-16 16:59:27.766,8267,-4315,100,4888,4888,4119,4144
2021-08-16 16:59:29.766,8258,-4331,100,4888,4888,4115,4139
2021-08-16 16:59:31.766,8251,-4296,100,4888,4888,4111,4140
2021-08-16 16:59:33.766,8245,-4298,100,4888,4888,4109,4136
2021-08-16 16:59:35.766,8237,-4328,100,4888,4888,4105,4132
2021-08-16 16:59:37.766,8233,-4309,100,4888,4888,4103,4130
2021-08-16 16:59:39.766,8223,-4309,100,4888,4888,4101,4123
2021-08-16 16:59:43.084,8217,-4303,100,4888,4888,4097,4118
2021-08-16 16:59:43.766,8214,-4301,100,4888,4888,4096,4118
2021-08-16 16:59:47.084,8208,-4293,100,4888,4888,4094,4114
2021-08-16 16:59:47.766,8206,-4291,100,4888,4888,4093,4113
2021-08-16 16:59:51.080,8203,-4287,100,4888,4888,4091,4112
2021-08-16 16:59:51.766,8204,-4283,100,4888,4888,4091,4114
2021-08-16 16:59:55.096,8195,-4276,100,4888,4888,4088,4107
2021-08-16 16:59:55.766,8193,-4275,100,4888,4888,4088,4111
2021-08-16 16:59:59.157,8187,-4266,100,4888,4888,4084,4103
2021-08-16 16:59:59.766,8186,-4264,100,4888,4888,4084,4103
2021-08-16 17:00:03.066,8181,-4293,100,4888,4888,4081,4099
2021-08-16 17:00:03.766,8179,-4292,100,4888,4888,4081,4103
2021-08-16 17:00:07.112,8176,-4290,100,4888,4888,4079,4097
2021-08-16 17:00:07.766,8174,-4288,100,4888,4888,4078,4101
2021-08-16 17:00:11.096,8176,-4283,100,4888,4888,4076,4095
2021-08-16 17:00:11.766,8169,-4281,100,4888,4888,4076,4093
2021-08-16 17:00:15.061,8171,-4276,100,4888,4888,4074,4092
2021-08-16 17:00:15.766,8165,-4274,100,4888,4888,4074,4095
2021-08-16 17:00:19.080,8167,-4269,100,4888,4888,4072,4089
2021-08-16 17:00:19.766,8160,-4268,100,4888,4888,4072,4093
2021-08-16 17:00:23.047,8157,-4260,100,4888,4888,4070,4086
2021-08-16 17:00:23.766,8155,-4259,100,4888,4888,4070,4086
2021-08-16 17:00:27.049,8153,-4255,100,4888,4888,4068,4084
2021-08-16 17:00:27.766,8152,-4256,100,4888,4888,4068,4084
2021-08-16 17:00:31.093,8149,-4251,100,4888,4888,4066,4082
2021-08-16 17:00:31.766,8148,-4252,100,4888,4888,4067,4082
2021-08-16 17:00:35.113,8145,-4245,100,4888,4888,4064,4080
2021-08-16 17:00:35.766,8144,-4244,100,4888,4888,4065,4079
2021-08-16 17:00:39.046,8147,-4242,100,4888,4888,4064,4084
2021-08-16 17:00:39.766,8142,-4240,100,4888,4888,4064,4078
2021-08-16 17:00:43.062,8143,-4237,100,4888,4888,4062,4081
2021-08-16 17:00:43.766,8139,-4236,100,4888,4888,4062,4076
2021-08-16 17:00:47.097,8140,-4231,100,4888,4888,4061,4080
2021-08-16 17:00:47.766,8135,-4232,100,4888,4888,4060,4074
2021-08-16 17:00:51.060,8137,-4228,100,4888,4888,4059,4078
2021-08-16 17:00:51.766,8131,-4226,100,4888,4888,4059,4073
2021-08-16 17:00:55.093,8133,-4224,100,4888,4888,4057,4076
2021-08-16 17:00:55.766,8128,-4223,100,4888,4888,4057,4071
2021-08-16 17:00:59.093,8125,-4218,100,4888,4888,4056,4069
2021-08-16 17:00:59.766,8124,-4218,100,4888,4888,4055,4069
2021-08-16 17:01:03.079,8122,-4215,100,4888,4888,4054,4068
2021-08-16 17:01:03.766,8121,-4213,100,4888,4888,4054,4068
2021-08-16 17:01:07.062,8121,-4211,100,4888,4888,4053,4071
2021-08-16 17:01:07.766,8119,-4211,100,4888,4888,4052,4065
2021-08-16 17:01:11.062,8116,-4207,100,4888,4888,4051,4065
2021-08-16 17:01:11.766,8115,-4206,100,4888,4888,4052,4064
2021-08-16 17:01:15.050,8115,-4205,100,4888,4888,4050,4068
2021-08-16 17:01:15.766,8114,-4203,100,4888,4888,4050,4062
2021-08-16 17:01:19.078,8112,-4201,100,4888,4884,4049,4066
2021-08-16 17:01:19.766,8111,-4199,100,4888,4884,4049,4061
2021-08-16 17:01:23.124,8108,-4196,100,4888,4879,4048,4060
2021-08-16 17:01:23.766,8107,-4194,100,4888,4879,4047,4059
2021-08-16 17:01:27.063,8107,-4194,100,4888,4874,4048,4063
2021-08-16 17:01:27.766,8106,-4193,100,4888,4874,4047,4059
2021-08-16 17:01:31.064,8105,-4191,100,4888,4870,4046,4059
2021-08-16 17:01:31.766,8102,-4190,100,4888,4870,4045,4057
2021-08-16 17:01:35.112,8101,-4188,100,4888,4865,4045,4060
2021-08-16 17:01:35.766,8100,-4189,100,4888,4865,4044,4055
2021-08-16 17:01:39.110,8104,-4067,100,4888,4861,4046,4058
2021-08-16 17:01:39.766,8103,-4079,100,4888,4861,4046,4057
2021-08-16 17:01:43.060,8100,-4108,100,4888,4856,4044,4056
2021-08-16 17:01:43.766,8100,-4109,100,4888,4856,4044,4056
2021-08-16 17:01:47.123,8098,-4112,100,4888,4852,4044,4055
2021-08-16 17:01:47.766,8097,-4111,100,4888,4852,4043,4054
2021-08-16 17:01:51.076,8094,-4085,100,4888,4847,4042,4053
2021-08-16 17:01:51.766,8094,-4088,100,4888,4847,4041,4052
2021-08-16 17:01:55.046,8092,-4087,100,4888,4842,4040,4051
2021-08-16 17:01:55.766,8091,-4087,100,4888,4842,4040,4051
2021-08-16 17:01:59.111,8089,-4086,99,4888,4838,4039,4050
2021-08-16 17:01:59.766,8089,-4087,99,4888,4838,4039,4050
2021-08-16 17:02:03.047,8088,-4088,99,4888,4834,4038,4049
2021-08-16 17:02:03.766,8087,-4086,99,4888,4833,4038,4048
2021-08-16 17:02:07.125,8085,-4089,99,4888,4829,4037,4048
2021-08-16 17:02:07.766,8085,-4089,99,4888,4829,4037,4047
2021-08-16 17:02:11.046,8084,-4091,99,4888,4825,4036,4046
2021-08-16 17:02:11.766,8083,-4088,99,4888,4824,4036,4046
2021-08-16 17:02:15.110,8079,-4085,99,4888,4821,4035,4044
2021-08-16 17:02:15.766,8079,-4086,99,4888,4820,4034,4044
2021-08-16 17:02:19.050,8077,-4078,99,4888,4816,4033,4043
2021-08-16 17:02:19.766,8076,-4081,99,4888,4815,4033,4043
2021-08-16 17:02:23.156,8075,-4073,99,4888,4812,4032,4042
2021-08-16 17:02:23.766,8074,-4074,99,4888,4811,4032,4042
2021-08-16 17:02:27.063,8073,-4079,99,4888,4807,4031,4041
2021-08-16 17:02:27.766,8074,-4077,99,4888,4806,4031,4042
2021-08-16 17:02:31.048,8072,-4078,99,4888,4803,4032,4041
2021-08-16 17:02:31.766,8072,-4076,99,4888,4802,4031,4041
2021-08-16 17:02:35.098,8069,-4075,99,4888,4798,4030,4039
2021-08-16 17:02:35.766,8068,-4072,99,4888,4797,4029,4038
2021-08-16 17:02:39.063,8067,-4073,99,4888,4794,4028,4039
2021-08-16 17:02:39.766,8068,-4074,99,4888,4793,4029,4040
2021-08-16 17:02:43.099,8065,-4076,98,4888,4789,4028,4037
2021-08-16 17:02:43.766,8068,-4074,98,4888,4788,4027,4037
2021-08-16 17:02:47.146,8061,-4067,98,4888,4785,4026,4035
2021-08-16 17:02:47.766,8061,-4068,98,4888,4784,4026,4035
2021-08-16 17:02:51.093,8059,-4067,98,4888,4780,4025,4035
2021-08-16 17:02:51.766,8063,-4068,98,4888,4779,4025,4036
2021-08-16 17:02:55.062,8056,-4070,98,4888,4776,4024,4032
2021-08-16 17:02:55.766,8056,-4068,98,4888,4774,4023,4032
