TimeStamp,Voltage,Current,Relative State of Charge,Full charge Capacity,Remaining Capacity,Cell 1 Voltage,Cell 2 Voltage,soh
2021-08-16 17:01:27.063,8107,-4194,100,4888,4874,4048,4063,0.9856792144026183
2021-08-16 17:01:27.766,8106,-4193,100,4888,4874,4047,4059,0.9856792144026183
2021-08-16 17:01:31.064,8105,-4191,100,4888,4870,4046,4059,0.9815875613747954
2021-08-16 17:01:31.766,8102,-4190,100,4888,4870,4045,4057,0.9815875613747954
2021-08-16 17:01:35.112,8101,-4188,100,4888,4865,4045,4060,0.9764729950900164
2021-08-16 17:01:35.766,8100,-4189,100,4888,4865,4044,4055,0.9764729950900164
2021-08-16 17:01:39.110,8104,-4067,100,4888,4861,4046,4058,0.972381342062193
2021-08-16 17:01:39.766,8103,-4079,100,4888,4861,4046,4057,0.972381342062193
2021-08-16 17:01:43.060,8100,-4108,100,4888,4856,4044,4056,0.9672667757774139
2021-08-16 17:01:43.766,8100,-4109,100,4888,4856,4044,4056,0.9672667757774139
2021-08-16 17:01:47.123,8098,-4112,100,4888,4852,4044,4055,0.9631751227495905
2021-08-16 17:01:47.766,8097,-4111,100,4888,4852,4043,4054,0.9631751227495905
2021-08-16 17:01:51.076,8094,-4085,100,4888,4847,4042,4053,0.9580605564648115
2021-08-16 17:01:51.766,8094,-4088,100,4888,4847,4041,4052,0.9580605564648115
2021-08-16 17:01:55.046,8092,-4087,100,4888,4842,4040,4051,0.9529459901800325
2021-08-16 17:01:55.766,8091,-4087,100,4888,4842,4040,4051,0.9529459901800325
2021-08-16 17:01:59.111,8089,-4086,99,4888,4838,4039,4050,0.948854337152209
2021-08-16 17:01:59.766,8089,-4087,99,4888,4838,4039,4050,0.948854337152209
2021-08-16 17:02:03.047,8088,-4088,99,4888,4834,4038,4049,0.9447626841243861
2021-08-16 17:02:03.766,8087,-4086,99,4888,4833,4038,4048,0.94373977086743
2021-08-16 17:02:07.125,8085,-4089,99,4888,4829,4037,4048,0.9396481178396071
2021-08-16 17:02:07.766,8085,-4089,99,4888,4829,4037,4047,0.9396481178396071
2021-08-16 17:02:11.046,8084,-4091,99,4888,4825,4036,4046,0.9355564648117837
2021-08-16 17:02:11.766,8083,-4088,99,4888,4824,4036,4046,0.9345335515548281
2021-08-16 17:02:15.110,8079,-4085,99,4888,4821,4035,4044,0.9314648117839602
2021-08-16 17:02:15.766,8079,-4086,99,4888,4820,4034,4044,0.9304418985270047
2021-08-16 17:02:19.050,8077,-4078,99,4888,4816,4033,4043,0.9263502454991812
2021-08-16 17:02:19.766,8076,-4081,99,4888,4815,4033,4043,0.9253273322422256
2021-08-16 17:02:23.156,8075,-4073,99,4888,4812,4032,4042,0.9222585924713583
2021-08-16 17:02:23.766,8074,-4074,99,4888,4811,4032,4042,0.9212356792144022
2021-08-16 17:02:27.063,8073,-4079,99,4888,4807,4031,4041,0.9171440261865793
2021-08-16 17:02:27.766,8074,-4077,99,4888,4806,4031,4042,0.9161211129296232
2021-08-16 17:02:31.048,8072,-4078,99,4888,4803,4032,4041,0.9130523731587559
2021-08-16 17:02:31.766,8072,-4076,99,4888,4802,4031,4041,0.9120294599018003
2021-08-16 17:02:35.098,8069,-4075,99,4888,4798,4030,4039,0.9079378068739768
2021-08-16 17:02:35.766,8068,-4072,99,4888,4797,4029,4038,0.9069148936170213
2021-08-16 17:02:39.063,8067,-4073,99,4888,4794,4028,4039,0.9038461538461534
2021-08-16 17:02:39.766,8068,-4074,99,4888,4793,4029,4040,0.9028232405891978
2021-08-16 17:02:43.099,8065,-4076,98,4888,4789,4028,4037,0.8987315875613744
2021-08-16 17:02:43.766,8068,-4074,98,4888,4788,4027,4037,0.8977086743044188
2021-08-16 17:02:47.146,8061,-4067,98,4888,4785,4026,4035,0.8946399345335515
2021-08-16 17:02:47.766,8061,-4068,98,4888,4784,4026,4035,0.8936170212765954
2021-08-16 17:02:51.093,8059,-4067,98,4888,4780,4025,4035,0.8895253682487725
2021-08-16 17:02:51.766,8063,-4068,98,4888,4779,4025,4036,0.8885024549918163
2021-08-16 17:02:55.062,8056,-4070,98,4888,4776,4024,4032,0.885433715220949
2021-08-16 17:02:55.766,8056,-4068,98,4888,4774,4023,4032,0.8833878887070373
2021-08-16 17:02:59.067,8054,-4069,98,4888,4771,4022,4031,0.88031914893617
2021-08-16 17:02:59.766,8058,-4068,98,4888,4770,4022,4032,0.8792962356792144
2021-08-16 17:03:03.089,8052,-4067,98,4888,4767,4021,4030,0.8762274959083466
2021-08-16 17:03:03.766,8051,-4069,98,4888,4765,4021,4030,0.8741816693944349
2021-08-16 17:03:07.093,8053,-4067,98,4888,4762,4020,4029,0.8711129296235676
2021-08-16 17:03:07.766,8054,-4066,98,4888,4761,4020,4030,0.870090016366612
2021-08-16 17:03:11.093,8050,-4072,98,4888,4758,4019,4028,0.8670212765957447
2021-08-16 17:03:11.766,8051,-4072,98,4888,4756,4019,4028,0.864975450081833
2021-08-16 17:03:15.174,8045,-4072,98,4888,4753,4018,4027,0.8619067103109657
2021-08-16 17:03:15.766,8049,-4072,98,4888,4752,4018,4031,0.8608837970540095
2021-08-16 17:03:19.048,8044,-4071,98,4888,4748,4018,4025,0.8567921440261861
2021-08-16 17:03:19.766,8047,-4071,98,4888,4747,4017,4030,0.8557692307692305
2021-08-16 17:03:23.137,8042,-4072,98,4888,4744,4016,4025,0.8527004909983632
2021-08-16 17:03:23.766,8044,-4071,98,4888,4743,4015,4029,0.8516775777414071
2021-08-16 17:03:27.094,8042,-4062,97,4888,4739,4016,4023,0.8475859247135842
2021-08-16 17:03:27.766,8043,-4060,97,4888,4738,4015,4028,0.846563011456628
2021-08-16 17:03:31.093,8035,-4063,97,4888,4735,4013,4022,0.8434942716857607
2021-08-16 17:03:31.766,8035,-4064,97,4888,4734,4013,4022,0.8424713584288052
2021-08-16 17:03:35.141,8033,-4063,97,4888,4730,4012,4020,0.8383797054009817
2021-08-16 17:03:35.766,8033,-4064,97,4888,4729,4012,4021,0.8373567921440261
2021-08-16 17:03:39.109,8034,-4064,97,4888,4726,4013,4021,0.8342880523731583
2021-08-16 17:03:39.766,8030,-4065,97,4888,4725,4011,4024,0.8332651391162027
2021-08-16 17:03:43.080,8031,-4066,97,4888,4721,4011,4020,0.8291734860883793
2021-08-16 17:03:43.766,8028,-4066,97,4888,4720,4010,4023,0.8281505728314237
2021-08-16 17:03:47.077,8028,-4067,97,4888,4717,4010,4019,0.8250818330605564
2021-08-16 17:03:47.766,8026,-4066,97,4888,4716,4009,4022,0.8240589198036002
